City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,misratah,32.3754,15.0925,14.41,75,17,5.02,LY,1705120487
114,nyurba,63.2842,118.3319,-26.75,93,77,3.47,RU,1705120401
115,longyearbyen,78.2186,15.6401,-13.09,61,75,8.75,SJ,1705120488
116,san luis de la loma,17.2706,-100.8939,22.8,83,9,1.79,MX,1705120488
117,ebon,4.582,168.6964,28.32,77,83,8.78,MH,1705120488
118,nagamangala,12.8156,76.7575,24.72,50,72,4.7,IN,1705120489
119,la'ie,21.6477,-157.9253,20.98,84,74,0.89,US,1705120489
120,sao jose da coroa grande,-8.8978,-35.1478,25.51,82,35,2.26,BR,1705120489
121,tromso,69.6496,18.957,-1.99,64,100,9.26,NO,1705120489
122,nicoya,10.1483,-85.452,24.64,88,80,0.56,CR,1705120489
123,prince rupert,54.3161,-130.3201,-7.17,57,0,3.6,CA,1705120490
124,garnet,33.902,-116.5456,16.24,39,0,2.06,US,1705120490
125,moyale,3.5167,39.0584,23.93,45,11,5.79,KE,1705120490
126,mugeni,46.25,25.2167,-6.52,85,99,2.18,RO,1705120490
127,nouadhibou,20.931,-17.0347,17.99,94,89,3.09,MR,1705120491
128,valle de santiago,20.3833,-101.2,14.14,44,74,1.34,MX,1705120321
129,tarija,-21.5355,-64.7296,17.3,91,98,1.19,BO,1705120491
130,horta,38.5333,-28.6333,15.57,86,59,8.05,PT,1705120491
131,maragogi,-9.0122,-35.2225,25.04,84,18,1.47,BR,1705120492
132,leo,11.1,-2.1,20.89,15,97,3.8,BF,1705120492
133,olonkinbyen,70.9221,-8.7187,-7.64,94,100,13.62,SJ,1705120493
134,tazacorte,28.629,-17.9293,20.54,93,100,7.72,ES,1705120493
135,tostado,-29.232,-61.7692,22.21,79,0,5.73,AR,1705120493
136,utrik,11.2278,169.8474,26.63,75,40,9.63,MH,1705120493
137,el granada,37.5027,-122.4694,11.0,82,100,2.06,US,1705120494
138,toyooka,35.5333,134.8333,3.03,93,75,8.75,JP,1705120494
139,yairipok,24.6667,94.0667,15.92,37,0,0.3,IN,1705120494
140,trairi,-3.2778,-39.2689,25.21,90,100,2.89,BR,1705120339
141,nuuk,64.1835,-51.7216,0.34,59,100,5.14,GL,1705120380
142,codrington,-38.2667,141.9667,17.63,65,100,7.59,AU,1705120495
143,damasak,13.0977,12.4952,16.67,19,1,3.93,NG,1705120495
144,enewetak,11.3474,162.3373,27.25,77,87,7.96,MH,1705120495
145,melfort,52.8667,-104.6177,-31.93,68,100,3.6,CA,1705120496
146,grevena,40.0845,21.4274,-3.44,63,37,1.38,GR,1705120496
147,san miguel octopan,20.5667,-100.7333,15.88,37,93,1.46,MX,1705120496
148,fale old settlement,-9.3852,-171.2468,29.5,75,100,6.34,TK,1705120496
149,punta arenas,-53.15,-70.9167,10.06,71,75,9.77,CL,1705120469
150,lata,40.1629,-8.3327,11.56,68,94,4.21,PT,1705120497
151,malkara,40.89,26.9011,-5.4,88,14,2.32,TR,1705120497
152,itaituba,-4.2761,-55.9836,23.58,96,99,0.11,BR,1705120497
153,yuzhno-kurilsk,44.0306,145.8556,-3.12,68,100,10.94,RU,1705120497
154,bilibino,68.0546,166.4372,-32.78,100,98,1.09,RU,1705120498
155,gadzhiyevo,69.2551,33.3362,-12.26,92,100,6.36,RU,1705120396
156,altamira,-3.2033,-52.2064,22.74,97,91,0.54,BR,1705120498
157,mount isa,-20.7333,139.5,35.87,38,40,4.63,AU,1705120498
158,kadugli,11.0167,29.7167,18.43,27,41,3.39,SD,1705120499
159,palembang,-2.9167,104.7458,29.05,74,40,4.12,ID,1705120499
160,mascote,-15.5631,-39.3025,22.93,92,28,0.29,BR,1705120499
161,nova sintra,14.8667,-24.7167,20.99,70,99,4.02,CV,1705120499
162,sur,22.5667,59.5289,22.54,58,0,0.83,OM,1705120499
163,tazovsky,67.4667,78.7,-36.69,100,99,1.05,RU,1705120500
164,masuguru,-11.3667,38.4167,23.94,95,100,0.73,TZ,1705120500
165,oconomowoc,43.1117,-88.4993,-0.13,97,100,7.72,US,1705120500
166,thongwa,16.7619,96.5278,26.09,35,14,1.82,MM,1705120500
167,luderitz,-26.6481,15.1594,17.17,82,6,6.45,NA,1705120501
168,popondetta,-8.7537,148.2534,32.17,59,78,2.17,PG,1705120501
169,saint-philippe,-21.3585,55.7679,28.77,84,88,7.18,RE,1705120501
170,senillosa,-39.0,-68.4167,19.88,20,14,7.42,AR,1705120501
171,luganville,-15.5333,167.1667,28.97,78,100,4.02,VU,1705120502
172,laguna,38.421,-121.4238,9.6,74,100,1.54,US,1705120502
173,kiama,-34.6833,150.8667,29.14,71,0,4.37,AU,1705120502
174,ust-nera,64.5667,143.2,-43.33,99,88,1.94,RU,1705120503
175,luba,3.4568,8.5547,26.7,83,49,3.16,GQ,1705120503
176,east london,-33.0153,27.9116,23.52,94,100,2.06,ZA,1705120503
177,kapit,2.0167,112.9333,26.1,91,100,0.2,MY,1705120503
178,ko lanta,7.5336,99.0865,27.95,64,80,1.78,TH,1705120504
179,sitka,57.0531,-135.33,-4.06,50,40,4.63,US,1705120504
180,beau vallon,-20.4189,57.6953,30.12,84,75,8.23,MU,1705120504
181,acajutla,13.5928,-89.8275,24.75,78,95,2.53,SV,1705120505
182,hithadhoo,-0.6,73.0833,27.3,77,85,5.17,MV,1705120505
183,coruripe,-10.1256,-36.1756,24.67,83,5,3.36,BR,1705120505
184,yeniseysk,58.4497,92.1703,-15.03,80,100,4.92,RU,1705120505
185,santa marta,11.2408,-74.199,29.38,70,40,2.57,CO,1705120208
186,dingcheng,32.1272,115.0394,18.21,36,0,1.85,CN,1705120506
187,puerto baquerizo moreno,-0.9,-89.6,24.88,84,78,3.26,EC,1705120506
188,portland,45.5234,-122.6762,-1.88,74,100,9.77,US,1705120251
189,aykhal,66.0,111.5,-32.99,95,20,4.96,RU,1705120507
190,karratha,-20.7377,116.8463,36.01,40,8,9.34,AU,1705120507
191,port saint john's,-31.6229,29.5448,23.98,92,98,0.92,ZA,1705120507
192,kertih,4.5141,103.4483,29.01,74,40,2.24,MY,1705120507
193,pierre,44.3683,-100.351,-20.08,81,100,10.8,US,1705120508
194,greenville,35.6127,-77.3663,19.02,96,100,6.69,US,1705120469
195,at taj,24.2049,23.2857,10.9,48,6,2.38,LY,1705120508
196,pucheng,27.9233,118.5333,18.99,36,0,1.29,CN,1705120508
197,illizi,26.4833,8.4667,6.89,31,0,1.44,DZ,1705120509
198,eyl,7.9803,49.8164,25.56,74,48,6.6,SO,1705120509
199,buka,40.8108,69.1986,11.75,42,100,0.65,UZ,1705120509
200,grand-bassam,5.2118,-3.7388,27.98,85,11,2.02,CI,1705120509
201,saipan,15.1355,145.701,30.39,66,20,5.66,MP,1705120510
202,kununurra,-15.7667,128.7333,31.99,62,75,3.6,AU,1705120510
203,nyaunglebin,17.95,96.7333,28.24,34,6,1.97,MM,1705120510
204,zvezdnyy,57.7325,56.3147,-27.34,100,100,1.29,RU,1705120510
205,tasgaon,17.0333,74.6,27.09,40,0,3.07,IN,1705120511
